,City
0,Nagoya 
1,Ho Chi Minh City 
2,Haerbin
3,Jiddah
4,Ji'nan 
5,Hanoi 
6,Urumqi 
7,Sana'a 
8,attawapiskat
9,taolanaro
10,berbera
11,mys shmidta
12,alotau
13,toliary
14,illoqqortoormiut
15,barentsburg
16,bengkulu
17,odweyne
18,rudbar
19,safwah
20,tsihombe
21,sentyabrskiy
22,amderma
23,saleaula
24,grand river south east
25,kuche
26,bolungarvik
27,karaul
28,barbar
29,asau
30,belushya guba
31,marcona
32,agva
33,nizhneyansk
34,chaa-khol
35,skovde
36,samusu
37,kadykchan
38,kushmurun
39,piryion
40,olafsvik
41,urumqi
42,ao luk
43,kismayo
44,ndele
45,saryshagan
46,vaitupu
47,haibowan
48,andenes
49,sorkjosen
50,ijaki
51,arrecife
52,kavant
53,grand centre
54,puunsi
55,qui nhon
56,skalistyy
57,satitoa
58,solsvik
59,gardan diwal
60,parit raja
61,vastervik
62,turtkul
63,garcina
64,rungata
65,stornoway
66,dzhusaly
67,catamarca
68,burica
69,asfi
70,umzimvubu
71,marv dasht
72,lolua
73,chagda
74,tabiauea
