,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
0,Tokyo,35.68,139.76,41,35,20,14.99
1,Delhi,28.65,77.22,50,100,20,5.82
2,Shanghai,31.23,121.49,44.6,81,0,4.47
3,Sao Paulo,-23.55,-46.64,80.6,69,75,10.29
4,Mumbai,19.01,72.85,69.8,56,0,16.02
5,Mexico City,19.43,-99.13,84.2,25,5,9.17
6,Beijing,39.91,116.39,14,56,44,4.47
7,Osaka,35.95,137.27,2.69,83,8,2.37
8,Cairo,30.06,31.25,50,39,0,12.75
9,New York,40.73,-73.99,46.94,40,75,11.41
10,Dhaka,26.67,85.17,57.72,84,92,6.73
11,Karachi,24.87,67.03,57.2,44,0,5.82
12,Buenos Aires,-34.61,-58.44,84.2,48,0,5.82
13,Kolkata,22.57,88.35,57.2,87,0,2.82
14,Istanbul,41.01,28.95,35.6,86,75,13.87
15,Chongqing,29.56,106.55,42.8,93,40,4.47
16,Lagos,6.46,3.39,80.6,83,0,4.7
17,Manila,14.59,120.98,75.2,78,20,4.7
18,Rio de Janeiro,-22.91,-43.21,84.2,83,20,11.41
19,Guangzhou,23.13,113.26,55.4,87,90,4.47
20,Los Angeles,34.05,-118.24,60.98,59,1,3.36
21,Moscow,55.75,37.62,14,85,75,2.24
22,Kinshasa,-4.32,15.31,71.54,100,68,2.71
23,Tianjin,39.12,117.2,17.6,72,36,2.24
24,Paris,48.86,2.35,42.8,87,90,2.24
25,Shenzhen,22.54,114.05,64.4,77,40,11.41
26,Jakarta,-6.18,106.83,78.8,83,20,3.36
27,London,51.51,-0.13,48.2,81,90,5.82
28,Bangalore,12.98,77.6,55.4,100,40,2.24
29,Lima,-12.06,-77.04,78.8,65,75,11.41
30,Chennai,13.09,80.28,73.4,83,40,8.63
31,Seoul,37.57,126.98,21.2,78,1,1.12
32,Bogota,4.6,-74.08,64.4,63,40,5.82
33,Johannesburg,-26.21,28.05,66.2,88,80,1.12
34,Bangkok,13.75,100.49,77,88,20,4.7
35,Hyderabad,17.36,78.47,59,93,0,4.83
36,Chicago,41.88,-87.62,42.08,68,1,8.05
37,Lahore,31.52,74.33,44.6,93,0,2.24
38,Tehran,35.7,51.4,41,60,40,5.17
39,Wuhan,30.6,114.3,39.2,80,90,4.47
40,Chengdu,30.68,104.06,42.8,93,40,3.94
41,Dongguan,39.02,111.07,8.63,71,76,4.16
42,Nanjing,32.06,118.79,39.2,100,90,6.71
43,Ahmadabad,32.36,53.99,53.6,14,0,9.17
44,Hong Kong,22.28,114.16,64.4,77,40,11.41
45,Foshan,23.02,113.11,55.4,87,90,4.47
46,Kuala Lumpur,3.15,101.71,80.6,74,75,10.29
47,Baghdad,33.3,44.38,44,82,0,5.28
48,Santiago,-33.44,-70.65,78.8,53,75,8.05
49,Hangzhou,30.25,120.21,42.8,100,75,4.47
50,Riyadh,24.69,46.72,60.8,38,0,2.24
51,Shenyang,41.8,123.43,1.4,64,0,2.93
52,Madrid,40.42,-3.7,37.4,51,0,3.36
53,Xi'an,34.27,108.94,17.6,92,92,2.24
54,Toronto,43.65,-79.39,33.8,54,75,13.87
55,Miami,25.77,-80.19,77,62,40,9.17
56,Pune,18.52,73.86,48.41,77,0,2.93
57,Belo Horizonte,-19.92,-43.95,82.4,51,0,8.05
58,Dallas,32.78,-96.8,69.08,62,1,17.22
59,Surat,21.19,72.81,68.52,100,0,18.37
60,Houston,29.76,-95.37,71.96,60,75,3.36
61,Singapore,1.29,103.85,80.6,83,75,5.82
62,Philadelphia,39.95,-75.16,48.92,48,1,8.05
63,Kitakyushu,33.83,130.83,41,74,0,3.36
64,Luanda,-8.83,13.24,78.8,88,75,4.7
65,Suzhou,31.3,120.58,37.52,94,24,9.64
66,Barcelona,41.38,2.18,48.2,45,0,13.87
67,Atlanta,33.75,-84.39,71.96,34,1,3.83
68,Khartoum,15.55,32.53,69.8,14,0,18.34
69,Dar es Salaam,-6.81,39.28,80.6,88,20,8.05
70,Saint Petersburg,59.89,30.26,24.8,85,90,6.71
71,Washington DC.,38.9,-77.04,55.04,35,1,9.17
72,Abidjan,5.32,-4.02,82.4,78,92,3.36
73,Guadalajara,40.63,-3.16,37.4,55,0,8.05
74,Yangon,16.8,96.16,77,83,75,3.36
75,Alexandria,31.22,29.96,51.8,71,40,13.87
76,Ankara,39.92,32.85,26.6,73,75,6.93
77,Kabul,34.53,69.18,-12.17,44,12,1.7
78,Qingdao,36.09,120.35,21.2,79,32,2.24
79,Chittagong,22.33,91.84,64.47,100,0,3.27
80,Monterrey,25.67,-100.32,84.2,52,40,9.17
81,Sydney,-33.85,151.22,71.6,78,90,9.17
82,Dalian,19.86,110.11,68,100,75,2.24
83,Xiamen,24.46,118.07,59,87,40,2.24
84,Zhengzhou,34.76,113.65,23,73,8,2.59
85,Boston,42.36,-71.06,42.08,75,90,14.99
